序号,点名,N,E,Z,B,L,H,描述,经度,纬度,,天线高,σN,σE,σZ,平滑次数,解类型,开始本地时间,结束本地时间,开始UTC时间,结束UTC时间,描述,差分龄期,卫星数,公共卫星数,PDOP,截止高度角(°),参考站名称,基站B,基站L,基站H(相位中心),里程,竖直倾角,倾斜向量方位角
1,pt0,4147306.976,630749.2217,21.2288, 37:26:54.45050, 121:28:39.28748,21.2288,摄像机,121.4775799,37.44845847,,1.4892,0.008,0.008,0.019,1,RTK固定解,20:58.0,20:58.0,20:58.0,20:58.0,摄像机,2,19,11,2.9,5,AUTO, 37:26:47.32956, 121:26:58.88607,7.9987,0, 00:39:34,
2,pt1,4147318.718,630681.0276,14.5248, 37:26:54.86589, 121:28:36.52146,14.5248,1,121.4768115,37.44857386,,1.4892,0.025,0.058,0.141,1,RTK固定解,27:40.0,27:40.0,27:40.0,27:40.0,1,5,23,10,3.4,5,AUTO, 37:26:47.32956, 121:26:58.88607,7.9987,0, 00:33:53,
3,pt2,4147322.448,630682.0353,14.4338, 37:26:54.98634, 121:28:36.56483,14.4338,2,121.4768236,37.44860732,,1.4892,0.015,0.014,0.045,1,RTK固定解,30:21.0,30:21.0,30:21.0,30:21.0,2,2,21,11,3.1,5,AUTO, 37:26:47.32956, 121:26:58.88607,7.9987,0, 00:16:06,
6,pt5,4147306.475,630749.6133,21.3468, 37:26:54.43404, 121:28:39.30309,21.3468,leida,121.4775842,37.4484539,,1.4892,0.039,0.023,0.075,1,RTK固定解,08:44.0,08:44.0,08:44.0,08:44.0,leida,3,25,13,2,5,AUTO, 37:26:47.32956, 121:26:58.88607,7.9987,0, 01:38:05,
7,pt6,4147317.127,630687.5039,14.4938, 37:26:54.81104, 121:28:36.78384,14.4938,3,121.4768844,37.44855862,,1.4892,0.022,0.019,0.064,1,RTK固定解,10:27.0,10:27.0,10:27.0,10:27.0,3,3,29,15,2.4323,5,AUTO, 37:26:47.32956, 121:26:58.88607,7.9987,0, 00:38:34,
8,pt7,4147321.686,630697.7199,14.4618, 37:26:54.95365, 121:28:37.20224,14.4618,4,121.4770006,37.44859824,,1.4892,0.034,0.029,0.095,1,RTK固定解,10:51.0,10:51.0,10:51.0,10:51.0,4,2,28,15,2.4,5,AUTO, 37:26:47.32956, 121:26:58.88607,7.9987,0, 01:05:31,
9,pt8,4147317.219,630703.7494,14.5378, 37:26:54.80573, 121:28:37.44462,14.5378,a,121.477068,37.44855715,,1.4892,0.029,0.023,0.079,1,RTK固定解,11:33.0,11:33.0,11:33.0,11:33.0,a,4,30,14,2.3,5,AUTO, 37:26:47.32956, 121:26:58.88607,7.9987,0, 00:47:08,
10,pt9,4147318.648,630697.8295,14.5308, 37:26:54.85510, 121:28:37.20476,14.5308,b,121.4770013,37.44857086,,1.4892,0.025,0.019,0.068,1,RTK固定解,11:53.0,11:53.0,11:53.0,11:53.0,b,2,30,17,2.1143,5,AUTO, 37:26:47.32956, 121:26:58.88607,7.9987,0, 01:17:02,
11,pt10,4147320.138,630691.7071,14.4578, 37:26:54.90652, 121:28:36.95671,14.4578,c,121.4769324,37.44858514,,1.4892,0.02,0.015,0.051,1,RTK固定解,12:10.0,12:10.0,12:10.0,12:10.0,c,3,31,19,1.9,5,AUTO, 37:26:47.32956, 121:26:58.88607,7.9987,0, 01:35:26,
12,pt11,4147321.528,630685.9859,14.4368, 37:26:54.95448, 121:28:36.72491,14.4368,d,121.476868,37.44859847,,1.4892,0.02,0.016,0.053,1,RTK固定解,12:32.0,12:32.0,12:32.0,12:32.0,d,4,30,18,1.9,5,AUTO, 37:26:47.32956, 121:26:58.88607,7.9987,0, 01:01:11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,121.4769417,37.44851221,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.000126265,0.000044942,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.00005017,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,121.476911194 37.448536714,,,,,,,-0.000044467,0.00000885,,,,,,,,,,,,,,,,,,,,,,,,
,,121.47691135 37.448536761,,,,,,,-0.000064388,0.000013323,,,,,,,,,,,,,,,,,,,,,,,,
,,121.476913738 37.448537473,,,,,,,-0.000068903,0.000014283,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,-0.000066628,0.000013714,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,1,121.4768115,37.44857386,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,3,121.4768844,37.44855862,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,121.4770006,37.44859824,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,2,121.4768236,37.44860732,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0008115,0.00057386,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0008844,0.00055862,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0010006,0.00059824,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.0008236,0.00060732,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,81.15,57.386,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,88.44,55.862,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,100.06,59.824,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,82.36,60.732,,,,,,,,,,,,,,,,,,,,,,,,
